advertisement,type,qualities
Nike,brand,"sports, athletic, quality, stylish"
iPhone 12,smartphone,"high-tech, sleek design, innovative"
Gucci,brand,"luxury, high-end, fashion"
Dell XPS 15,laptop,"high performing, sleek, reliable"
Coca Cola,brand,"refreshing, popular, universal"
Amazon Echo,smart speaker,"voice-activated, smart home device, convenient"
Canon EOS 5D Mark IV,camera,"professional, high-quality photos, durable"
Nintendo Switch,gaming console,"portable, fun, versatile"
Dyson,brand,"innovative, high quality, home appliances"
Macbook Pro,laptop,"high-performance, sturdy, reliable"
Chanel No. 5,perfume,"iconic, luxury, sensual"
Rolex,brand,"luxury, precise, durable"
Samsung Galaxy S20,smartphone,"versatile, innovative, quality"
GoPro,action camera,"compact, rugged, high-quality video"
Zara,brand,"affordable, fashionable, trendy"
IKEA,brand,"affordable, functional, home decor"
Beats by Dre,headphones,"high quality sound, stylish, comfortable"
Fitbit,fitness tracker,"health, wearable, analytics"
Nespresso,coffee machine,"convenient, quality, design"
Casper,brand,"comfortable, direct-to-consumer, mattresses"
KitchenAid,brand,"high-quality, durable, kitchen appliances"
Victoria’s Secret,brand,"lingerie, fashionable, quality"
Vans,brand,"sneakers, comfortable, fashionable"
Sonos,brand,"wireless speakers, sound system, premium sound"
Kindle,ebook reader,"lightweight, convenient, e-ink screen"
Tiffany & Co.,brand,"luxury, jewelry, classy"
Starbucks,brand,"coffee, speed, atmosphere"
Fenty Beauty,brand,"cosmetics, diverse shades, endorsing equality"
JBL,brand,"speakers, soundbars, premium sound"
Apple Watch,smartwatch,"fitness tracking, health monitoring, stylish"
Lego,brand,"children's toys, interlocking, creative"
Levi's,brand,"denim, durable, fashionable"
Air Jordan,brand,"sneakers, sports, iconic"
Ray-Ban,brand,"sunglasses,iconic, stylish, protective"
Nike Air Max,shoe,"comfort, stylish, athletic"
Louis Vuitton,brand,"luxury, leather goods, fashionable"
Burberry,brand,"luxury, apparel and accessories,quality"
Hugo Boss,brand,"fragrances, fashion, quality"
Yves Saint Laurent,brand,"luxury, fashion, quality"
Casio G-Shock,watch,"sturdy, shock-resistant, sporty"
NARS,brand,"cosmetics, quality, diverse shades"
Under Armour,brand,"sports apparel, comfort, performance"
Samsung,brand,"electronics, innovations, quality"
Lancôme,brand,"cosmetics, quality, luxurious"
Puma,brand,"sports apparel, quality, performance"
Lego Star Wars,toy set,"fun, creative, storytelling"
Armani,brand,"fashion, luxury, quality"
IKEA,brand,"furniture, affordable, functional"
Forever 21,brand,"fashion, affordable, trendy"
Calvin Klein,brand,"fashion, quality, stylish"
Samsung QLED TV,television,"quality, smart, sleek design"
Nikon,brand,"camera, quality, professional"
L'Oreal,brand,"cosmetics,hair care, quality"
Panasonic,brand,"home appliances, electronics, reliable"
Bosch,brand,"home appliances, tools, reliable"
Ralph Lauren,brand,"fashion, classic, quality"
Maybelline,brand,"cosmetics, affordable, quality"
HP,brand,"computers, reliable, quality"
Dolce & Gabbana,brand,"luxury, fashion, quality"
Pepsi,brand,"carbonated drink, refreshing, popular"
The North Face,brand,"outdoor apparel, durable, stylish"
Walmart,brand,"retail, affordable, comprehensive"
Gillette,brand,"shaving, quality, reliable"
Playstation 5,gaming console,"entertaining, advanced technology, exclusive games"
Bulgari,brand,"jewelry, luxury, style"
Harman Kardon,brand,"speakers, high-quality audio, design"
Dixon Golf,brand,"golf balls, high performance, environmentally friendly"
Zippo,brand,"lighters, durable, windproof"
Tommy Hilfiger,brand,"fashion, classic, quality"
Canon 800D, camera,"leverage technology, adaptive, creative"
Converse,brand,"sneakers, stylish, comfortable"
Salvatore Ferragamo,brand,"luxury, shoes, quality"
Tag Heuer,brand,"watches, sporty, luxury"
Braun,brand,"home appliances, electric shavers, quality"
Urban Decay,brand,"cosmetics, urban style, quality"
The Lego Movie,DVD,"entertainment, family friendly, creative"
Warner Bros,brand,"entertainment, movies, quality"
US Polo Assn,brand,"fashion, classic, quality"
DJI,brand,"drones, photography, high-tech"
Estée Lauder,brand,"cosmetics, skincare, luxury"
Lays,brand,"snack, tasty, popular"
Elliptical Trainer,gym equipment,"fitness, low impact, cardio"
AliExpress,brand,"online shopping, affordable, vast variety"
Ubisoft,brand,"videogames, entertaining, quality"
Hermes,brand,"luxury, leather goods, fashionable"
Casio Digital Piano,musical instrument,"quality, versatile, educational"
Red Wing,brand,"work boots, durable, quality"
Samsung Galaxy Note, smartphone,"large screen, stylus, quality"
Prada,brand,"luxury, fashion, quality"
Gillette Mach 3,razor,"close shave, quality, reliable"
Xbox Game Pass,subscription service,"multitude of games, value, entertaining"
Bosch Dishwasher, home appliance,"energy-efficient, quiet, effective"
Asus,brand,"computers, quality, performance"
Microsoft Office 365,software,"productivity, comprehensive, globally used"
H&M,brand,"fashion, affordable, trendy"
Cartier,brand,"jewelry, luxury, style"
GoPro HERO7,action camera,"compact, rugged, live streaming"
NutriBullet,blender,"powerful, convenient, health centric"
Philips Sonicare,electric toothbrush,"effective, oral health, quality"
Chanel Gabrielle,perfume,"luxury, floral, feminine"
